mitre_id,name,tactic,description,url
T1566,Phishing,Initial Access,"Adversaries may send phishing messages to gain access to victim systems. All forms of phishing are electronically delivered social engineering. Phishing can be targeted, known as spearphishing. In spearphishing, a spe...",https://attack.mitre.org/techniques/T1566
T1542.004,ROMMONkit,Stealth|Persistence,Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect. (Citation: Cisco Synful K...,https://attack.mitre.org/techniques/T1542/004
T1218.001,Compiled HTML File,Stealth,Adversaries may abuse Compiled HTML files (.chm) to conceal malicious code. CHM files are commonly distributed as part of the Microsoft HTML Help system. CHM files are compressed compilations of various content such a...,https://attack.mitre.org/techniques/T1218/001
T1496.001,Compute Hijacking,Impact,"Adversaries may leverage the compute resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability.",https://attack.mitre.org/techniques/T1496/001
T1070.005,Network Share Connection Removal,Stealth,Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation. Windows shared drive and [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002) con...,https://attack.mitre.org/techniques/T1070/005
T1090.003,Multi-hop Proxy,Command And Control,"Adversaries may chain together multiple proxies to disguise the source of malicious traffic. Typically, a defender will be able to identify the last proxy traffic traversed before it enters their network; the defender...",https://attack.mitre.org/techniques/T1090/003
T1110,Brute Force,Credential Access,Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.(Citation: TrendMicro Pawn Storm Dec 2020) Without knowledge of the password for an...,https://attack.mitre.org/techniques/T1110
T1059.004,Unix Shell,Execution,"Adversaries may abuse Unix shell commands and scripts for execution. Unix shells are the primary command prompt on Linux, macOS, and ESXi systems, though many variations of the Unix shell exist (e.g. sh, ash, bash, zs...",https://attack.mitre.org/techniques/T1059/004
T1137.003,Outlook Forms,Persistence,Adversaries may abuse Microsoft Outlook forms to obtain persistence on a compromised system. Outlook forms are used as templates for presentation and functionality in Outlook messages. Custom Outlook forms can be crea...,https://attack.mitre.org/techniques/T1137/003
T1219.003,Remote Access Hardware,Command And Control,"An adversary may use legitimate remote access hardware to establish an interactive command and control channel to target systems within networks. These services, including IP-based keyboard, video, or mouse (KVM) devi...",https://attack.mitre.org/techniques/T1219/003
